2026-05-20 21:48:12 | GET /reviews/add/ | User: user | Status: 200 | Duration: 5ms
2026-05-20 21:48:12 | GET /reviews/add/ | User: user | Status: 200 | Duration: 5ms
2026-05-20 21:48:12 | GET /reviews/add/ | User: user | Status: 200 | Duration: 5ms
2026-05-20 21:48:12 | POST /reviews/add/ | User: user | Status: 302 | Duration: 2ms
2026-05-20 21:48:12 | POST /reviews/add/ | User: user | Status: 302 | Duration: 2ms
2026-05-20 21:48:12 | POST /reviews/add/ | User: user | Status: 302 | Duration: 2ms
2026-05-20 21:48:13 | POST /reviews/1/delete/ | User: user | Status: 302 | Duration: 2ms
2026-05-20 21:48:13 | POST /reviews/1/delete/ | User: user | Status: 302 | Duration: 2ms
2026-05-20 21:48:13 | POST /reviews/1/delete/ | User: user | Status: 302 | Duration: 2ms
2026-05-20 21:48:13 | GET /reviews/1/edit/ | User: user | Status: 200 | Duration: 16ms
2026-05-20 21:48:13 | GET /reviews/1/edit/ | User: user | Status: 200 | Duration: 16ms
2026-05-20 21:48:13 | GET /reviews/1/edit/ | User: user | Status: 200 | Duration: 16ms
2026-05-20 21:48:13 | GET /reviews/ | User: Anonymous | Status: 200 | Duration: 3ms
2026-05-20 21:48:13 | GET /reviews/ | User: Anonymous | Status: 200 | Duration: 3ms
2026-05-20 21:48:13 | GET /reviews/ | User: Anonymous | Status: 200 | Duration: 3ms
2026-05-20 21:48:13 | GET /services/ | User: Anonymous | Status: 200 | Duration: 5ms
2026-05-20 21:48:13 | GET /services/ | User: Anonymous | Status: 200 | Duration: 5ms
2026-05-20 21:48:13 | GET /services/ | User: Anonymous | Status: 200 | Duration: 5ms
2026-05-20 21:48:13 | GET /services/?type=1 | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?type=1 | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?type=1 | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?search=%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D1%81%D1%82%D0%B8%D0%BA%D0%B0 | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?search=%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D1%81%D1%82%D0%B8%D0%BA%D0%B0 | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?search=%D0%B4%D0%B8%D0%B0%D0%B3%D0%BD%D0%BE%D1%81%D1%82%D0%B8%D0%BA%D0%B0 | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?sort=price_asc | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?sort=price_asc | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:13 | GET /services/?sort=price_asc | User: Anonymous | Status: 200 | Duration: 1ms
2026-05-20 21:48:15 | GET /statistics/ | User: user | Status: 200 | Duration: 1453ms
2026-05-20 21:48:15 | GET /statistics/ | User: user | Status: 200 | Duration: 1453ms
2026-05-20 21:48:15 | GET /statistics/ | User: user | Status: 200 | Duration: 1453ms
2026-05-20 21:48:15 | GET /statistics/ | User: admin | Status: 200 | Duration: 75ms
2026-05-20 21:48:15 | GET /statistics/ | User: admin | Status: 200 | Duration: 75ms
2026-05-20 21:48:15 | GET /statistics/ | User: admin | Status: 200 | Duration: 75ms
2026-05-20 21:48:15 | GET /vacancies/ | User: Anonymous | Status: 200 | Duration: 3ms
2026-05-20 21:48:15 | GET /vacancies/ | User: Anonymous | Status: 200 | Duration: 3ms
2026-05-20 21:48:15 | GET /vacancies/ | User: Anonymous | Status: 200 | Duration: 3ms
2026-05-20 21:48:50 | GET /statistics/ | User: daria | Status: 200 | Duration: 546ms
2026-05-20 21:48:50 | GET /statistics/ | User: daria | Status: 200 | Duration: 546ms
2026-05-20 21:48:50 | GET /statistics/ | User: daria | Status: 200 | Duration: 546ms
2026-05-20 21:48:55 | GET / | User: daria | Status: 200 | Duration: 2175ms
2026-05-20 21:48:55 | GET / | User: daria | Status: 200 | Duration: 2175ms
2026-05-20 21:48:55 | GET / | User: daria | Status: 200 | Duration: 2175ms
2026-05-20 22:52:29 | GET / | User: daria | Status: 200 | Duration: 2320ms
2026-05-20 22:52:29 | GET / | User: daria | Status: 200 | Duration: 2320ms
2026-05-20 22:52:29 | GET / | User: daria | Status: 200 | Duration: 2320ms
2026-05-20 22:52:33 | POST /accounts/logout/ | User: Anonymous | Status: 302 | Duration: 11ms
2026-05-20 22:52:33 | POST /accounts/logout/ | User: Anonymous | Status: 302 | Duration: 11ms
2026-05-20 22:52:33 | POST /accounts/logout/ | User: Anonymous | Status: 302 | Duration: 11ms
2026-05-20 22:52:34 | GET / | User: Anonymous | Status: 200 | Duration: 1112ms
2026-05-20 22:52:34 | GET / | User: Anonymous | Status: 200 | Duration: 1112ms
2026-05-20 22:52:34 | GET / | User: Anonymous | Status: 200 | Duration: 1112ms
2026-05-20 22:52:36 | GET /accounts/login/ | User: Anonymous | Status: 200 | Duration: 8ms
2026-05-20 22:52:36 | GET /accounts/login/ | User: Anonymous | Status: 200 | Duration: 8ms
2026-05-20 22:52:36 | GET /accounts/login/ | User: Anonymous | Status: 200 | Duration: 8ms
2026-05-20 22:52:57 | POST /accounts/login/ | User: Anonymous | Status: 200 | Duration: 486ms
2026-05-20 22:52:57 | POST /accounts/login/ | User: Anonymous | Status: 200 | Duration: 486ms
2026-05-20 22:52:57 | POST /accounts/login/ | User: Anonymous | Status: 200 | Duration: 486ms
2026-05-20 22:53:06 | POST /accounts/login/ | User: koolchel | Status: 302 | Duration: 489ms
2026-05-20 22:53:06 | POST /accounts/login/ | User: koolchel | Status: 302 | Duration: 489ms
2026-05-20 22:53:06 | POST /accounts/login/ | User: koolchel | Status: 302 | Duration: 489ms
2026-05-20 22:53:07 | POST /accounts/login/ | User: koolchel | Status: 403 | Duration: 30ms
2026-05-20 22:53:07 | POST /accounts/login/ | User: koolchel | Status: 403 | Duration: 30ms
2026-05-20 22:53:07 | POST /accounts/login/ | User: koolchel | Status: 403 | Duration: 30ms
2026-05-20 22:53:08 | GET / | User: koolchel | Status: 200 | Duration: 2172ms
2026-05-20 22:53:08 | GET / | User: koolchel | Status: 200 | Duration: 2172ms
2026-05-20 22:53:08 | GET / | User: koolchel | Status: 200 | Duration: 2172ms
2026-05-21 08:25:08 | GET / | User: koolchel | Status: 200 | Duration: 3085ms
2026-05-21 08:25:08 | GET / | User: koolchel | Status: 200 | Duration: 3085ms
2026-05-21 08:25:08 | GET / | User: koolchel | Status: 200 | Duration: 3085ms
2026-05-21 08:25:09 | GET /favicon.ico | User: koolchel | Status: 404 | Duration: 1ms
2026-05-21 08:25:09 | GET /favicon.ico | User: koolchel | Status: 404 | Duration: 1ms
2026-05-21 08:25:09 | GET /favicon.ico | User: koolchel | Status: 404 | Duration: 1ms
2026-05-21 08:25:11 | GET /about/ | User: koolchel | Status: 200 | Duration: 50ms
2026-05-21 08:25:11 | GET /about/ | User: koolchel | Status: 200 | Duration: 50ms
2026-05-21 08:25:11 | GET /about/ | User: koolchel | Status: 200 | Duration: 50ms
2026-05-21 08:25:11 | GET /media/company/image_2026-05-19_20-04-47.png | User: koolchel | Status: 404 | Duration: 1ms
2026-05-21 08:25:11 | GET /media/company/image_2026-05-19_20-04-47.png | User: koolchel | Status: 404 | Duration: 1ms
2026-05-21 08:25:11 | GET /media/company/image_2026-05-19_20-04-47.png | User: koolchel | Status: 404 | Duration: 1ms
2026-05-21 08:25:41 | GET /privacy/ | User: koolchel | Status: 200 | Duration: 28ms
2026-05-21 08:25:41 | GET /privacy/ | User: koolchel | Status: 200 | Duration: 28ms
2026-05-21 08:25:41 | GET /privacy/ | User: koolchel | Status: 200 | Duration: 28ms
